avg_review,brand,n_review,price,product,product_url
Price,Honest Beauty,,"
						$28.00",Everyday Radiance Moisturizer,
Price,Honest Beauty,,"
						$28.00",Deep Hydration Cream,
Price,Honest Beauty,,"
						$33.00",Calm & Heal Melting Balm,
4.60 out of 5 stars,bioClarity,"
									 (802","
						$34.95",SunFilter SPF 30 Mineral Face Sunscreen + 12 Hour Moisture,/sunfilter-spf-30-mineral-face-sunscreen-12-hour-moisture?productId=pimprod2022366
4.50 out of 5 stars,La Roche-Posay,"
									 (42","
						$49.99",Active C10 Vitamin C Anti-Wrinkle Face Cream,/active-c10-vitamin-c-anti-wrinkle-face-cream?productId=pimprod2019356
Price,ULTA,,"
						$19.50",Daily Moisturizer Sunscreen SPF 30,
4.80 out of 5 stars,bioClarity,"
									 (138","
						$19.95",Skin Smoothie 24-Hour Gel Moisturizer,/skin-smoothie-24-hour-gel-moisturizer?productId=pimprod2022348
4.80 out of 5 stars,Tula,"
									 (18","
						$98.00",Supersize Limited Edition 24-7 Moisture Hydrating Day & Night Cream,/supersize-limited-edition-24-7-moisture-hydrating-day-night-cream?productId=pimprod2019533
4.40 out of 5 stars,StriVectin,"
									 (49","
						$39.00",Full Screen SPF 30 100% Mineral Vanishing Tint,/full-screen-spf-30-100-mineral-vanishing-tint?productId=pimprod2014612
4.30 out of 5 stars,ACURE,"
									 (96","
						$16.99",Brightening Day Cream,/brightening-day-cream?productId=pimprod2006232
4.60 out of 5 stars,Garnier,"
									 (619","
						$14.99",SkinActive Rose Water 24H Moisture Gel,/skinactive-rose-water-24h-moisture-gel?productId=pimprod2008050
3.70 out of 5 stars,Proactiv,"
									 (7","
						$30.00",T-Zone Oil Absorber,/t-zone-oil-absorber?productId=pimprod2014141
4.30 out of 5 stars,ARCONA,"
									 (3","
						$77.00",Peptide Hydrating Complex,/peptide-hydrating-complex?productId=pimprod2007138
5.00 out of 5 stars,SkinKick,"
									 (3","
						$26.00",Naturally Smart Blemish Relief Lotion,/naturally-smart-blemish-relief-lotion?productId=pimprod2017392
4.20 out of 5 stars,Mario Badescu,"
									 (67","
						$20.00",Kera Moisturizer,/kera-moisturizer?productId=xlsImpprod6200717
4.50 out of 5 stars,jane iredale,"
									 (346","
						$18.00",BeautyPrep Face Moisturizer Mini,/beautyprep-face-moisturizer-mini?productId=pimprod2004083
5.00 out of 5 stars,Milk + Honey,"
									 (1","
						$68.00",Intense Hydration Cream,/intense-hydration-cream?productId=pimprod2014350
4.60 out of 5 stars,Kitao,"
									 (246","
						$30.00",Matcha + Chia Facial Cream,/matcha-chia-facial-cream?productId=pimprod2004419
4.20 out of 5 stars,Mario Badescu,"
									 (59","
						$18.00",Ginseng Moist Cream,/ginseng-moist-cream?productId=xlsImpprod6200707
4.70 out of 5 stars,Pacifica,"
									 (55","
						$10.00",Travel Size Coconut Probiotic Water Rehab Cream,/travel-size-coconut-probiotic-water-rehab-cream?productId=pimprod2010144
2.80 out of 5 stars,Awake Beauty,"
									 (14","
						$26.00",Ray Of Bright Radiance Moisturizer,/ray-of-bright-radiance-moisturizer?productId=pimprod2006127
0.00 out of 5 stars,Ahava,,"
						$75.00",Dead Sea Osmoter Concentrate Supreme Hydration Cream,/dead-sea-osmoter-concentrate-supreme-hydration-cream?productId=pimprod2014604
4.70 out of 5 stars,Elizabeth Arden,"
									 (18","
						$55.00",Visible Difference Replenishing HydraGel Complex,/visible-difference-replenishing-hydragel-complex?productId=pimprod2000307
4.80 out of 5 stars,Indeed Labs,"
									 (17","
						$19.99",10balm Cream,/10balm-cream?productId=pimprod2006897
4.40 out of 5 stars,Alpha Skin Care,"
									 (43","
						$17.99",Essential Renewal Lotion,/essential-renewal-lotion?productId=xlsImpprod13762025
4.50 out of 5 stars,Patchology,"
									 (71","
						$35.00",AquaFlash Daily Gel Moisturizer,/aquaflash-daily-gel-moisturizer?productId=xlsImpprod18431040
5.00 out of 5 stars,Winky Lux,"
									 (4","
						$30.00",Dream Gelee Hydrator,/dream-gelee-hydrator?productId=pimprod2004377
4.70 out of 5 stars,Lancôme,"
									 (147","
						$52.00",Bienfait Aqua Vital Crème Continuous Infusing Moisturizer,/bienfait-aqua-vital-creme-continuous-infusing-moisturizer?productId=xlsImpprod3650020
3.30 out of 5 stars,Awake Beauty,"
									 (4","
						$19.00",Travel Size Balance Shot Antioxidant Concentrate,/travel-size-balance-shot-antioxidant-concentrate?productId=pimprod2009718
4.00 out of 5 stars,PMD,"
									 (4","
						$47.00",Recovery Moisturizer,/recovery-moisturizer?productId=xlsImpprod11631101
4.00 out of 5 stars,Too Cool For School,"
									 (4","
						$28.00",Caviar Lime Hydra Moist Cream,/caviar-lime-hydra-moist-cream?productId=pimprod2018241
4.50 out of 5 stars,jane iredale,"
									 (346","
						$45.00",BeautyPrep Face Moisturizer,/beautyprep-face-moisturizer?productId=pimprod2004084
3.20 out of 5 stars,Dr. Brandt,"
									 (6","
						$48.00",Pores No More Mattifying Hydrator,/pores-no-more-mattifying-hydrator?productId=xlsImpprod18241037
4.40 out of 5 stars,Formula 10.0.6,"
									 (5","
						$14.00",Hydrate State Vitamin B Rejuvenating Daily Moisturizer,/hydrate-state-vitamin-b-rejuvenating-daily-moisturizer?productId=pimprod2012537
3.70 out of 5 stars,COVER FX,"
									 (3","
						$42.00",Custom Blending Moisturizer,/custom-blending-moisturizer?productId=pimprod2020761
4.10 out of 5 stars,Clinique,"
									 (36","
						$52.00",Repairwear Laser Focus Line Smoothing Cream Broad Spectrum SPF 15 Combination Oil to Oily,/repairwear-laser-focus-line-smoothing-cream-broad-spectrum-spf-15-combination-oil-oily?productId=xlsImpprod12991079
3.00 out of 5 stars,La Roche-Posay,"
									 (1","
						$34.99",Anthelios HA Mineral Daily Moisturizing Face Cream SPF 30,/anthelios-ha-mineral-daily-moisturizing-face-cream-spf-30?productId=pimprod2021600
4.80 out of 5 stars,Dr Roebuck's,"
									 (17","
						$45.00",No Worries Hydrating Face Moisturizer,/no-worries-hydrating-face-moisturizer?productId=pimprod2011500
3.70 out of 5 stars,L'Occitane,"
									 (48","
						$110.00",Immortelle Divine Light Cream SPF 20,/immortelle-divine-light-cream-spf-20?productId=pimprod2018472
5.00 out of 5 stars,ARCONA,"
									 (1","
						$60.00",Magic Dry Ice,/magic-dry-ice?productId=pimprod2007141
4.70 out of 5 stars,Olay,"
									 (123","
						$38.99",Regenerist Mineral Sunscreen Hydrating Moisturizer SPF 15,/regenerist-mineral-sunscreen-hydrating-moisturizer-spf-15?productId=pimprod2018844
5.00 out of 5 stars,ARCONA,"
									 (1","
						$68.00",Four O'Clock Flower,/four-oclock-flower?productId=pimprod2007148
3.80 out of 5 stars,Pacifica,"
									 (5","
						$12.00",Glow Jelly Dewy Radiance,/glow-jelly-dewy-radiance?productId=pimprod2016560
4.80 out of 5 stars,Everyday Humans,"
									 (4","
						$13.50",No Problemo Pre & Post-Sun Water,/no-problemo-pre-post-sun-water?productId=pimprod2017380
4.00 out of 5 stars,Baxter of California,"
									 (25","
						$36.00",Super Shape Skin Recharge Cream,/super-shape-skin-recharge-cream?productId=xlsImpprod18591009
4.30 out of 5 stars,Andalou Naturals,"
									 (3","
						$26.99",Quenching Coconut Water Visibly Firm Day Cream,/quenching-coconut-water-visibly-firm-day-cream?productId=xlsImpprod18881023
